LOVE U @APPLE,1.8	
Did @apple just make a wrong decision?  Well, no better and no worse in term of consumer-based innovation #imo,0	
@waathaaaaan @Apple,0	
Another look at the @Apple Fingerprints feature.   What do you think? True or False pic.twitter.com/dBWtlY6Moh,0	
@AnalogDanny @Apple kms,0	
vai toma no cu @apple,0	
What the iPhone 5S tells us about @Apple and the Internet of Things http://buff.ly/17Vo9vN,0	
#IPODPLAYERPROMO #IPOD #IPAD #ITUNES #APPLE #PROMO#IPODPLAYERPROMO @apple @itune #IPOD GENERATION,0	
I'll admit I love my iphone but @apple will never get my fingerprint  NSA gets all the fingerprints of activists, I expect planted evidence.,0	
Sobre el #iPhone 5c http://ow.ly/oPyn7  @GeorgeOaks @manolo_e69 @lmuia @yatayoye @apple #tech,0	
Was at the @apple store today.. Guy next to me brought in iPad with cracked screen that he said he found in the... http://fb.me/2yCZjoTIh,0	
Newsflash: @Burberry Collaborates with @apple for the Spring/Summer 2014 Show at #LFW http://ow.ly/oPZc5  http://fb.me/2RUs2JZnI,0	
@cherylcole @apple #iphone5c http://fb.me/2PMMKdYvh,0	
@Exhibit_K In fact, that should be the emoji for the action. HAA. We should write to @apple,0	
There needs to be an emoji of someone in yoga pants @apple then I could truly describe my day with emojis,0	
@betehene @apple #ipad 'e yapilan yanlis bize yapilmistir...,0	
@KaitlinBongo @Apple Kaitlin -___-,0	
New @Apple Patent: #iPad Anti-Reflective Display    http://bit.ly/17Wle65,0	
{#IPODPLAYERPROMO #IPOD #IPAD #ITUNES #APPLE #PROMO #IPODPLAYERPROMO #IPOD #IPAD #ITUNES #APPLE #PROMO#IPODPLAYERPROMO @apple @itune},0	
I'm at @Apple Store, Crocker Park (Westlake, OH) http://4sq.com/14RQsYb,0	
Seeking lower tax rate, @Airbnb follows @google and @apple in choosing Ireland as its European HQ |http://onforb.es/19RHH3K  #travel,0	
@Apple's new @iPhone5c will be available to pre-order from Apple's online store on Friday, 13th of September.,0	
Hey @apple please add Internet connection status indicator on iOS 7 Wi-Fi settings panel. More granular signal strength meter be nice too.,0	
@apple,0	
{#IPODPLAYERPROMO #IPOD #IPAD #ITUNES #APPLE #PROMO #IPODPLAYERPROMO #IPOD #IPAD #ITUNES #APPLE #PROMO#IPODPLAYERPROMO @apple @itune},0	
Plagiaat @apple ? pic.twitter.com/mHVCI5fSlE,0	
@apple para cuando la ota de ios7gm?? No me apetece hacer copia de seguridad,0	
Could @Apple & @PayPal announcements be game changers in the #mpayment landscape? #mcommerce #bluetooth @IR_Magazine http://bit.ly/18W3upH,0	
"@JZFan: When are y'all gonna come out with the iJordans? @Apple @MichaelJordan"<stop this Q, don't you have night shift ir something,0	
WHY WHY WHY WHY WHY WHY WHY WHY WHY WHY  @Apple @itunesfestival,0	
Resumen de la keynote de @Apple en 8 GIFs claves: iOS 7 tiene fecha de lanzamiento, 18/09/2013 http://bit.ly/17t8zXo,0	
We have something that YOU wish you had, called #BBM thats why #IChooseBlackBerry10 #BBM4ALL @BlackBerry @Apple @Google,0	
.@CNNEE @Microsoft es una potencia imparable en el mundo del desarrollo. Ahora tb en hardware. @Apple es un subproducto con aires de mimo.,0	
@Mr_EasyRyder @The_1nd_Only365 @Apple yu kno issie slow Collin lmaoo,0	
@windowsphone You sure were quick to take down those videos blatantly calling out @Apple that were done in poor taste and quality.,0	
@BostonReid @jasonreiner @apple lol,0	
Yo @apple .... We need a boxing glove emoji,0	
@beyonce @apple ??,0	
Make a stop sign emoji @apple,0	
Exijo mi dinero de vuelta @apple,0	
Php, katanya low cost??? @apple,0	
Why doesn't my iPod have dinosaur emojis @apple,0	
@apple why,0	
C #IPODPLAYERPROMO #IPOD #IPAD #ITUNES #APPLE #PROMO#IPODPLAYERPROMO @apple @itune,0	
If @apple's new #iphone5c case reminds you of Crocs, sorry, you're a freaking retard.,0	
When is @apple going to create an upgrade were we can un-send text messages,0	
@Apple #iPhone5C e #iPhone5S: i prezzi in Germania http://shar.es/iYsW0  via @TechstationIT,0	
It's important that Apple not become the developer for the world. We need people to invent their own stuff." - Tim Cook CEO of @Apple,-0.2	
@APPLE @GOOGLE #CHROME - #TEST #TEST #TEST - #iPad (Retina) #Chrome REALLY #UGLY PAGE RENDERING LUGGIES pic.twitter.com/LH1K8R7tzU,-0.2	
@fulltimebro @Apple #Hip 1/10,-0.2	
@Microsoft getting #desperate willing to pay you $200  to trade your @apple ipads for tablets. #really? @venturebeat http://bit.ly/18XPNXl,-0.2	
@Google 's laughing at @Apple and I am laughing at what was left of my love for @Chrome #stinks,-0.2	
@Twohat007 @Apple  ppl will buy it BC lodes of ppl like it (I don't) but most of the ppl in the wold do so it will sell but don't know y,-0.2	
@battalalgoos @apple,-0.2	
A harder look at @Apple's #iPhone 5S security scanner, which allows the user's fingerprint to become the password http://ow.ly/oN4UB,-0.2	
We need emergency battery @Apple,-0.2	
I need to somehow keep headphones attached to my phone at all times. @apple,-0.2	
So the @apple genius dude left me because my laptop was loading too slow.,-0.2	
.@Apple VP Marketing: Be quiet, photogs, and let #iPhone do #photography for you. http://ht.ly/oPtNw  Condescension, anyone?,-0.2	
Dear @Apple    im sure im not the only one that types "nerd" so lets stop putting a red line under it.    Thanks,  Diego??,-0.2	
@Apple???????? ????????????????????????????????!,-0.2	
@DroClicquot @Apple neither am I!! #soannoying,-0.2	
.@APPLE Pls get #Safari reading list in cloud!,-0.2	
iPhone 5C battery life is being promoted as 10 days stand by time. Lol, I'm sure I wont need to charge my phone for 10 days @Apple,-0.2	
Why is #deathmatch not included in the auto-text on the #iphone? Huh @Apple? No gamers on your auto-text dev team?,-0.2	
Fantastic new phone concept from @davehakkens	 this is the kind of thing @apple should have come up with http://thndr.it/14IFdTv,-0.2
Argh! No puedo entrar a mi iMac @AppStore @Apple,-0.2	
@Apple i need a cholula emoji stat.,-0.2	
@florinNitulescu @nokia is really taking off @apple  #HelpTheFellow 	),-0.2
@nitoTV I wish @Apple could change or allow us to change background color from black to others, on AppleTV 2 and 3,-0.2	
So I tried to preorder iphone5s last night but couldn't, I'm guessing they're sold out already?! @VerizonWireless @apple,-0.2	
Anybody know what's going on with my iPhone 5?! @apple #iphone5 pic.twitter.com/qgM8gDrwfE,-0.2	
No me gusta la letra C, lo siento tontos @Apple,-0.2	
@Apple If you release a thumbprint protected password autofill feature, thumb theft will become the evening news.,-0.2	
The new #iPhone is out! Lets go buy a #Samsung #Galaxy!   @BridgetCarey @CNET @Apple @BrianTong,-0.2	
@DarrenSproat @nokia @Apple Yeah. But by now Samsung has "pyrited" it.,-0.2	
make your iphones waterproof @apple,-0.2	
I love my Apple TV but I think @netflix and @apple need to fix Apple TV and get autoplay... This process is so annoying,-0.2	
Lol RT @thepartycow: Well, well. @motorola using @twitter to fire back @apple. In other news go @adambain!!! pic.twitter.com/nnk3VWQaLU,-0.2	
@Apple ??,-0.2	
@ybarra214amy WELL IT'S NOT MY FAULT @apple DOESNT HAVE A PAL EMOJI!!!,-0.2	
How do you get a icon that you accidentally deleted off your phone? #calendar #teamiphone @apple @iphone #apple #iphone,-0.2	
Time to short @Apple? pic.twitter.com/DXuTJk5Evo,-0.2	
@SagarKamesh @Apple I wasn't hurt at all.,-0.2	
5s manita? RT @MizBuchitos Mi banca rota es culpa de @Apple :(,-0.2	
On hold with @Apple, they're playing "I Remember" by @deadmau5.. Yeah don't transfer my call yet, I can wait for this song to finish! ? #tbt,-0.2	
@windowsphone THROWIN SHADE @apple,-0.2	
Why won't @apple release the ios7 for my phone already. I really want to see the difference in person.,-0.2	
@7evenStarz @Apple you have made no statement about the female condom.,-0.2	
China: @Apple no convence http://cort.as/5oXn,-0.2	
Will @apple help me fix my screen bc it doesn't work at all. I only dropped it and didn't work anymore, but i have no cracks on the screen,-0.2	
@apple @itunes y'all need to add that music que to the iPhones in iOS 7,-0.2	
When are y'all gonna come out with the iJordans? @Apple @MichaelJordan,-0.2	
At the @Apple store finally getting a new phone....it's been real 4s, but you just had to crack!,-0.2	
i need a middle finger emoji @apple mAKE ONE,-0.2	
Why y'all jerks not puttin the 5s on presale @apple ?!,-0.2	
.@Apple discontinues Cards app and printing service, recommends using #iPhoto instead. http://ht.ly/oPzqp,-0.2	
With iBeacon, @Apple is going to dump on NFC and embrace the internet of things: http://goo.gl/PZQZsQ,-0.2	
